 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
23.02,7,15,0,0.0825,0.966713,0.233428,0.12712,0,0,0,9,1503303.455
22.76,4,9,0,1.202,4.779697,-0.255668,0.163749,0,0,0,1,1549599.471
22.13,6,11,4.76,0.4717,1.091798,0.114182,0.206266,2,0,0,3,9445604.018
23.46,6,12,5,0.1916,1.348706,0.282674,0.057768,0,0,0,11,9941026.17
22.81,6,11,5,0.0448,1.27912,0.526113,0.25807,4,0,0,43,10606827.84
22.76,4,8,7.69,0.0247,1.632938,0.008571,0.163749,0,0,0,3,9079766.241
22.93,5,8,0,0.1128,1.310793,0.477339,0.168036,0,0,0,4,8923447.909
23.43,6,13,5.88,0.7184,1.642865,0.208165,0.160822,0,0,0,10,9879708.817
23.26,4,15,0,0.0085,1.014083,0.37078,0.207993,5,0,0,6,9744368.808
23.28,4,11,5.56,0.0045,2.285311,0.293217,0.182512,3,0,0,11,9313316.594
21.89,3,11,6.25,0.0293,0.640404,0.064247,0.032316,0,0,0,4,1458040.735
23,2,17,0,0.0359,0.727347,0.178122,0.37222,0,0,0,6,9444459.518
24.83,3,11,12.5,0.0181,1.164465,-0.009296,0.237941,0,0,0,2,11955759.33
21.93,6,9,0,0.0257,1.399605,0.136225,0.055856,0,0,0,2,10077054.96
22.26,5,8,6.25,0.0106,1.727788,0.198781,0.105666,1,0,0,40,9728446.083
21.84,3,9,22.22,0.0215,1.681602,0.349164,0.11801,0,0,0,6,10428433.97
22.31,3,9,5.56,0.0303,1.626821,0.521388,0.15175,4,0,0,6,9686973.256
22.06,3,7,21.43,0.0584,2.805018,0.132728,0.212472,0,0,0,4,10259961.74
22.24,3,9,5.88,0.3543,0.935762,0.076275,0.122499,0,0,0,4,9171733.523
22.73,2,9,0,0.0176,2.269184,0.195942,0.197634,2,0,0,2,10320171.95
22.76,1,11,16.67,0.0887,1.374433,0.096812,0.163749,0,0,0,12,9899294.544
22.76,4,9,15.79,1.3478,0.602392,0.014692,0.163749,0,0,0,7,593347.0481
23.99,9,11,9.52,0.4148,1.192859,0.537778,0.208226,0,0,0,18,11157277.83
21.88,7,11,0,0.4926,1.248287,0.047438,0.091809,0,0,0,7,897837.6423
23.15,8,10,0,0.0775,1.160841,0.142386,0.152162,4,0,0,12,1725084.864
22.13,7,8,5.26,0.5744,0.840245,0.241763,-0.10503,0,0,0,3,10726749.35
23.67,7,9,11.76,0.1916,1.615986,0.231973,0.178513,0,0,0,5,11999252.43
23.12,7,11,5.26,0.021,0.864095,0.367962,0.121525,0,0,0,89,11421949.88
22.79,6,8,15.38,0.0245,1.582428,0.104955,0.275452,0,0,0,3,10782325.28
23.13,6,9,0,0.0596,1.337956,0.220644,0.180598,1,0,0,18,10843740.36
23.45,7,13,5.88,0.728,1.832461,0.02208,0.106236,0,0,0,10,11757952.78
23.88,5,15,0,0.0079,0.954677,0.866277,0.073252,4,1,0,15,11062406.61
23.36,5,11,5.56,0.0029,2.217854,0.079481,0.091293,0,0,0,8,11149216.2
21.99,4,11,6.25,0.0293,0.626638,0.109902,0.01805,1,0,0,6,1221993.13
23.28,3,17,0,0.0139,1.204042,0.318841,0.335374,0,0,0,3,10937935.38
24.89,4,11,12.5,0.0173,1.314553,0.054793,0.275753,1,0,0,2,14193994.38
22.24,7,9,0,0.0258,1.077148,0.353377,0.050974,0,0,0,1,11945056.64
22.42,6,11,6.25,0.0058,1.612085,0.179043,0.196165,5,0,0,51,11670317.02
21.9,4,10,17.65,0.0104,2.256408,0.067301,0.07235,0,0,0,11,11456988.68
22.75,4,9,5.56,0.0185,1.198912,0.553373,0.081522,0,0,0,6,11148130.45
22.58,4,6,14.29,0.0496,1.23957,0.677471,0.30295,0,0,0,3,12184964.55
22.34,4,9,5.26,0.3877,0.925128,0.107724,0.019949,0,0,0,4,10981080.72
22.91,3,9,0,0.0184,1.543985,0.196947,0.168513,2,0,0,2,11501736.96
22.25,2,11,16.67,0.0938,0.863515,0.379835,0.029834,0,0,0,10,11685165.35
21.14,8,11,15,0.3664,0.67413,0.138185,0.115453,0,0,1,5,436567.1181
24.17,10,11,9.52,0.4124,1.057819,0.193736,0.23154,5,0,0,12,12909552.47
22.22,8,10,0,0.4938,1.096812,0.343641,-0.038856,1,0,0,7,888121.1253
23.33,9,9,0,0.0732,0.950883,0.202563,0.223025,0,1,0,9,2281934.418
22.98,7,9,12.5,1.1918,2.352869,0.019155,0.111071,0,0,0,4,835293.284
21.88,8,11,0,1.1339,0.790186,-0.218973,0.047677,2,0,0,3,9880512.453
23.92,8,9,12.5,0.2322,1.075128,0.284043,0.246919,0,2,0,6,10713813.9
23.23,8,11,0,0.0463,0.567868,0.115566,0.125112,0,0,0,79,9782952.205
22.76,7,7,15.38,0.0207,2.130682,-0.024256,0.176446,2,0,0,9,9913204.373
23.2,7,9,0,0.0644,1.39115,0.070343,0.085113,0,0,0,9,9993148.032
23.38,8,14,10,0.8873,1.92687,-0.068662,0.166399,1,0,0,5,10915011.36
24.23,6,15,4.17,1.1539,0.544595,0.413103,0.133659,3,0,0,27,10326558.26
23.44,6,11,5.26,0.0069,1.912951,0.082864,0.146146,0,0,0,15,10206916.17
22.02,5,11,5.88,0.0293,0.659426,0.027466,0.008174,0,0,0,4,815672.2074
23.23,4,17,4.55,0.0314,1.267341,-0.049485,-0.004769,0,0,0,9,10062704.61
25.68,5,11,11.54,0.0288,1.103565,1.210307,0.353618,3,0,0,6,11814962.38
22.46,8,9,0,0.0579,0.66524,0.250778,0.178377,0,0,0,4,10872411.44
22.69,7,11,6.25,0.0058,1.097476,0.307239,0.164722,7,0,0,54,9967096.639
21.84,5,9,12.5,0.0113,3.263743,-0.055651,0.068481,0,0,0,9,10416211.49
22.85,5,9,5.88,0.0551,1.439741,0.101544,-0.011948,1,0,0,4,10021807.8
22.67,5,6,14.29,0.0358,1.159874,0.095466,0.086202,0,0,0,2,10653725.49
22.28,5,8,5.88,0.3536,0.824116,-0.0593,0.130097,0,0,0,6,10105199.45
23.19,4,9,0,0.0102,0.860929,0.312769,0.070178,4,0,0,0,10159631.26
22.42,3,11,16.67,0.0887,0.510462,0.193361,-0.138062,3,0,0,17,10458598
21.16,9,11,15.79,0.3814,0.718197,0.022392,0.073176,0,0,0,6,412334.8739
24.38,11,10,11.11,0.4171,1.042656,0.235757,0.196145,7,1,0,14,10967087.45
22.27,9,10,0,0.5062,0.933372,0.054528,0.029746,2,0,0,2,751651.1847
23.73,10,9,0,0.1058,0.82914,0.492619,0.082084,0,0,0,8,4696477.911
23.25,8,8,8.7,1.4338,3.304445,-0.111196,0.145866,0,0,0,5,1852465.449
21.81,9,11,0,1.0561,1.012146,-0.067652,0.167871,3,0,0,13,16484112.36
24.08,9,9,11.11,0.2094,0.928001,0.166918,0.181974,2,0,0,4,17410458.42
23.23,9,11,0,0.1579,0.732534,-0.001306,0.151735,0,0,0,65,16295512.88
24.02,8,5,15.38,0.0356,1.091017,2.5064,0.274751,3,1,0,5,17136558.47
24.43,8,9,0,0.0896,0.963605,2.446674,0.169142,0,0,1,23,17562329.98
24.79,9,14,10,0.2504,0.678228,3.088873,0.775647,0,0,0,7,19924096.23
24.35,7,15,4,1.0337,0.55127,0.129968,0.098521,4,0,0,39,17247685.27
23.55,7,11,5.26,0.0062,1.624097,0.118193,0.199319,3,0,0,16,16090847.85
22.02,6,11,5.88,0.0315,0.667488,0.004119,-0.005935,2,0,0,4,1433142.235
23.35,5,17,4.17,0.0443,1.20394,0.134729,0.027844,3,0,0,3,16289269.54
25.74,6,11,14.29,0.0409,1.091926,0.063618,0.152059,3,0,0,7,18379068.5
