 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
21.36,3,9,5.26,0.0126,1.440186,0.027194,0.111549,2,0,2,16,2359629.981
21.53,7,9,0,0.232,1.080947,0.45093,-0.032027,0,0,0,8,2484010.684
21.41,7,15,3.85,0.5906,0.616058,0.208522,0.07486,0,0,0,8,2105063.739
21.74,10,9,0,1.4932,0.845074,0.172706,0.118831,2,0,0,4,2366818.526
20.15,10,7,11.76,0.0085,2.055975,0.026957,-0.017285,1,0,0,4,2111994.274
20.62,10,9,10.53,0.1251,1.272875,0.074769,0.094343,0,0,0,4,2220213.742
21.18,10,9,5.56,0.0799,1.485384,-0.007529,0.017755,0,1,0,2,2021964.995
20.07,9,9,25,0.0381,2.280849,0.077073,-0.005012,1,0,0,0,2125443.018
21.32,7,9,18.75,0.0321,1.570891,0.497604,-0.083259,0,0,0,3,9574.712022
20.06,7,12,26.32,0.801,1.310542,-0.118656,0.004984,2,0,0,13,898463.7724
20,7,11,26.32,0.4324,5.349285,0.10502,0.141088,0,0,0,29,2142779.768
21.07,5,9,15.79,0.7332,0.296846,0.222152,0.067876,0,0,0,4,2652920.498
21.62,6,9,15,0.2312,0.472413,-0.020605,0.046397,0,0,0,7,2296809.032
21.07,5,9,5.56,0.1486,1.220038,-0.055717,0.067876,0,0,0,5,25631.59621
21.9,6,9,25,0.1972,0.85008,0.169952,0.090455,0,0,0,5,2764379.91
21.51,6,9,5.88,0.0412,5.536684,0.081091,0.024592,2,0,0,1,1847278.51
20.48,6,8,12.5,1.1494,0.792344,-0.023068,0.045647,2,0,0,1,5495.496496
20.98,6,9,8,2.0807,1.04923,-0.014186,0.135716,2,0,0,9,2244740.544
20.95,6,7,7.14,0.9748,1.221497,0.012579,-0.014101,2,0,0,7,1244506.643
21.94,6,9,0,0.2134,1.117249,0.048768,0.061748,0,0,0,11,2115444.06
21.54,6,12,12,0.1738,0.717646,0.414127,0.010468,1,1,0,10,38883.03069
20.23,6,6,5.26,0.0121,1.123879,0.00172,0.000804,0,0,0,3,1991665.204
22,6,11,7.69,0.1723,2.069086,1.523631,0.070393,0,0,0,3,3121044.46
21.89,6,9,10,0.0035,1.068822,0.031952,-0.022398,0,0,0,4,1833463.778
22.15,5,12,9.09,0.0327,0.777312,0.387634,0.121024,0,0,0,7,2056087.909
21.84,5,8,9.09,0.0539,1.153625,0.465762,0.097149,2,0,0,5,1969013.968
22,4,7,13.33,0.0298,1.99945,-0.023796,0.127653,4,0,0,38,2353621.102
20.38,4,12,12,0.1231,0.641698,-0.214374,-0.002965,0,0,0,1,472630.7792
20.71,4,15,16.67,0.0302,0.664011,-0.093936,0.05319,0,0,0,9,2065369.549
19.99,3,10,5,0.0178,1.587528,-0.083239,0.049483,0,0,0,30,1851438.399
21.15,6,9,6.67,0.9865,1.789343,0.234806,0.125472,0,1,0,16,2047502.105
21.94,6,9,5.26,0.031,1.898957,0.395066,0.176541,0,0,0,24,2554114.583
20.84,5,7,6.67,0.0223,9.427775,-0.041346,0.105439,0,0,0,5,2534903.053
21.11,4,11,5,1.4116,0.734925,0.538202,0.195947,0,0,0,8,2112311.857
21.74,5,12,10.53,0.0388,0.987135,0.09082,0.129267,2,0,0,21,2225259.397
21.28,4,9,11.76,0.7888,1.091801,0.156658,0.081304,1,0,0,14,1020455.862
20.83,4,12,9.52,0.4026,2.348355,0.125047,0.100404,0,0,0,5,547967.8366
20.69,3,9,13.33,0.0425,3.246386,0.117317,0.110049,1,0,0,10,2385623.561
20.47,4,11,4.76,0.0208,0.917723,-0.027758,-0.004072,0,0,0,10,516485.9355
21.3,3,9,9.52,0.2857,0.860896,0.061372,0.065464,2,0,0,8,5784.95437
