 Size,ListAge,Board,Female,Balance,Liquid,AssetGrowth,Cashflow,StrategyTarget,Management,AdvocacyTrain,Technology,CEP
21.71,6,9,6.25,0.0767,0.671142,0.073241,0.12078,0,0,0,3,1061759.453
21.1,3,13,23.81,0.1089,1.770956,-0.079773,-0.118788,2,0,0,4,225217.983
21.06,10,12,20.83,0.0624,8.434939,-0.043747,0.053606,0,0,0,1,79270.93139
21.34,6,9,6.67,0.8025,1.214058,0.082799,0.0143102,0,0,0,7,446887.4856
20.83,7,9,20,1.2308,1.225383,0.593605,0.094513,0,0,0,4,962878.2187
20.38,6,11,15.79,0.0772,1.102118,0.101929,0.111329,0,0,0,7,1199057.885
20.38,6,13,4.55,1.4304,1.596078,0.162244,-0.163353,0,0,0,0,950477.3458
21.31,5,9,0,0.0919,1.009791,0.049962,-0.066223,0,0,0,1,142185.8531
21.04,3,12,10,0.9763,0.577083,0.266721,0.00903,0,0,0,103,24040.2813
24.04,10,12,4,0.5725,0.942686,0.038345,0.101371,0,0,0,15,1020909.876
21.51,7,8,5.26,0.0871,0.650278,0.080635,0.000837,0,3,0,4,1274167.389
21.83,7,9,5.88,0.0765,0.527338,0.125489,0.187234,1,0,0,0,1129873.095
21.07,4,13,26.32,0.1089,1.193081,-0.025195,0.134622,1,0,0,6,196936.5006
21.11,11,12,24,0.0884,6.502286,0.047002,0.087138,0,0,0,4,70840.47826
21.41,7,10,5.88,0.7589,1.186421,-0.149439,0.111314,0,0,0,3,391388.4657
21.03,8,6,20,1.2332,0.790539,0.229696,0.161345,0,0,0,4,895936.0442
20.39,7,8,15.79,0.7272,1.179688,0.009637,0.046981,0,0,0,8,995944.6941
20.54,7,13,4.76,1.4304,1.319779,0.177983,0.069688,0,0,0,1,901447.7831
21.29,6,9,7.69,0.1006,0.778672,-0.017852,0.030481,0,0,0,2,129044.9623
21.17,4,11,10.34,0.9691,0.618019,0.142167,0.01884,2,0,0,130,28703.73708
21.41,1,9,5.56,0.307,0.596041,0.550972,0.111314,0,3,0,22,5486322.554
24.08,11,12,4,0.5803,1.158908,0.042648,0.17795,4,0,0,10,1015245.562
21.63,8,9,5.56,0.1226,0.904023,0.131663,0.198856,0,2,0,3,1079426.361
22.15,8,9,5.88,0.0795,0.481933,0.375624,0.139479,0,0,0,2,1200264.926
21.06,5,9,23.53,0.1089,1.165793,-0.01234,0.051722,0,0,0,3,252027.6304
21.05,12,9,15.79,0.0688,15.081808,-0.058688,0.012905,0,0,0,1,84744.59152
21.56,8,11,11.11,0.7589,0.226574,-0.4965,0.072326,0,0,1,1,328223.8876
21.27,9,9,9.52,1.2308,0.686973,0.277879,-0.030572,0,0,0,2,942470.7483
20.39,8,11,5.26,0.6579,1.245457,-0.005321,0.044831,1,0,0,3,1090447.085
20.59,8,9,5.56,1.4304,1.232231,0.053623,0.103201,0,0,0,2,944467.6
21.28,7,9,7.69,0.1025,0.867807,-0.004577,0.030295,1,0,0,0,153872.9732
21.53,5,11,10.34,0.963,0.534492,0.433996,0.075546,0,0,0,136,33170.17002
21.99,2,9,5.56,0.3071,0.802562,0.202174,0.13236,0,2,0,24,5011752.426
24.02,12,12,4.17,0.5788,1.225868,-0.057557,0.14762,0,0,1,13,968474.6786
21.78,9,9,4.55,0.746,0.824152,0.160328,0.088201,0,2,0,4,1071589.824
22.22,9,9,5.88,0.0682,0.507078,0.078967,0.069816,0,1,0,4,607610.5789
